time,DRB.UEThpDl,RF.serving.RSRP,RF.serving.RSRQ,RF.serving.RSSINR,RRU.PrbUsedDl,Viavi.UE.anomalies,du-id,nbCellIdentity_0,nbCellIdentity_1,nbCellIdentity_2,nbCellIdentity_3,nbCellIdentity_4,nrCellIdentity,prb_usage,rsrp_nb0,rsrp_nb1,rsrp_nb2,rsrp_nb3,rsrp_nb4,rsrq_nb0,rsrq_nb1,rsrq_nb2,rsrq_nb3,rsrq_nb4,rssinr_nb_0,rssinr_nb_1,rssinr_nb_2,rssinr_nb_3,rssinr_nb_4,targetTput,ue-id,x,y
2024-05-24T07:13:39.203970Z,0.0,0,0,64.0,0,1,2,6,7,4,3,5,2,0,0,0,0,0,0,0,0,0,0,0,45.0,22.0,21.0,20.0,0.0,0.25,3,1781,1645
2024-05-24T07:13:39.208935Z,0.0,0,0,49.0,0,1,2,6,7,4,3,5,2,0,0,0,0,0,0,0,0,0,0,0,41.0,36.0,34.0,30.0,0.0,0.25,7,1789,1526
2024-05-24T07:13:39.211321Z,0.0,0,0,49.0,0,1,2,5,4,7,6,3,2,0,0,0,0,0,0,0,0,0,0,0,40.0,18.0,16.0,8.0,0.0,0.25,8,1674,2366
2024-05-24T07:13:39.213856Z,0.0,0,0,57.0,0,1,2,3,6,7,5,4,2,0,0,0,0,0,0,0,0,0,0,0,144.0,4.0,0.0,0.0,0.0,0.25,10,2736,2000
2024-05-24T07:13:39.218904Z,0.0,0,0,59.0,0,1,4,7,5,6,2,3,4,0,0,0,0,0,0,0,0,0,0,0,33.0,27.0,20.0,18.0,16.0,0.25,9,2085,2307
2024-05-24T07:13:39.223840Z,0.0,0,0,79.0,0,1,6,2,7,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,40.0,39.0,23.0,0.0,0.0,0.25,4,1661,1502
2024-05-24T07:13:39.226257Z,0.0,0,0,53.0,0,1,6,7,4,5,2,3,6,0,0,0,0,0,0,0,0,0,0,0,24.0,19.0,10.0,8.0,0.0,0.25,6,1609,1513
2024-05-24T07:13:39.229979Z,0.0,0,0,62.0,0,1,7,6,2,3,5,4,7,0,0,0,0,0,0,0,0,0,0,0,42.0,41.0,21.0,0.0,0.0,0.25,1,1901,1424
2024-05-24T07:13:39.232130Z,0.0,0,0,62.0,0,1,7,2,3,4,6,5,7,0,0,0,0,0,0,0,0,0,0,0,34.0,21.0,21.0,11.0,0.0,0.25,5,2350,1480
2024-05-24T07:13:40.430476Z,0.0,0,0,66.0,0,0,2,6,7,4,3,5,2,0,0,0,0,0,0,0,0,0,0,0,45.0,22.0,21.0,20.0,0.0,0.25,3,1781,1645
2024-05-24T07:13:40.433344Z,0.0,0,0,42.0,0,0,2,6,7,4,3,5,2,0,0,0,0,0,0,0,0,0,0,0,43.0,37.0,33.0,30.0,0.0,0.25,7,1789,1526
2024-05-24T07:13:40.436148Z,0.0,0,0,48.0,0,0,2,5,7,4,6,3,2,0,0,0,0,0,0,0,0,0,0,0,36.0,16.0,15.0,9.0,0.0,0.25,8,1734,2101
2024-05-24T07:13:40.438991Z,0.0,0,0,55.0,0,0,2,3,6,7,5,4,2,0,0,0,0,0,0,0,0,0,0,0,114.0,7.0,0.0,0.0,0.0,0.25,10,2687,2000
2024-05-24T07:13:40.444604Z,0.0,0,0,60.0,0,0,4,5,7,6,3,2,4,0,0,0,0,0,0,0,0,0,0,0,32.0,32.0,22.0,17.0,16.0,0.25,9,2029,2384
2024-05-24T07:13:40.450164Z,0.0,0,0,78.0,0,0,6,7,2,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,39.0,38.0,23.0,0.0,0.0,0.25,4,1635,1463
